key,en-GB,spa-ES,fre-FR,por-PT,ita-IT,ger-DE,gre,tur,afr
or you could watch this amazing video,or you could watch this amazing video,o puedes ver este alucinante vídeo,tu peux aussi regarder cette vidéo,ou podes ver este vídeo espantoso,oppure puoi guardare questo fantastico video,oder du könntest dieses tolle Video ansehen,ή θα μπορούσες να παρακολουθήσεις αυτό το φοβερό βίντεο,ya da bu muhteşem videoyu izleyebilirsin,of jy kan hierdie ongelooflike video kyk
titleChild1,1/4 Who are you chatting to?,1/4 ¿Con quién chateas?,1/4 Avec qui discuter ?,1/4 Com quem estás a conversar?,1/4 Con chi stai chattando?,1/4 Mit wem sprichst du?,1/4 Με ποιον συνομιλείς;,1/4 Kiminle sohbet ediyorsunuz?,1/4 Met wie klets jy?
mainTextChild1,It’s important that you only give out your KidCode to friends or family members you know in real life. Never chat with strangers because personal information should be kept private. This helps you stay safe on Azoomee Chat!,"Es fundamental que solo compartas tu código infantil con amigos o familiares que conozcas en la vida real. Nunca chatees con extraños, pues la información personal debe ser privada. ¡Esto te ayudará a no tener problemas en Azoomee Chat!","Il est important de ne donner ton code enfant qu'aux amis ou membres de ta famille que tu connais déjà. Ne discute jamais avec des inconnus, tes informations personnelles doivent rester privées. Tout cela te permettra d'utiliser Azoomee Chat en toute sécurité !","É importante que só dês o teu Código de Criança a amigos ou familiares que conheças na vida real. Nunca converses com desconhecidos, pois os teus dados pessoais devem manter-se privados. Isto vai ajudar-te a manteres-te seguro no Azoomee Chat!",È importante dare il tuo Codice bambino solo ad amici e familiari che conosci davvero. Non chattare mai con sconosciuti perché le informazioni personali devono restare private. In questo modo potrai restare al sicuro sulla chat di Azoomee!,"Es ist wichtig, dass du deinen Kindercode nur an Freunde und Familienmitglieder weitergibst, die du auch außerhalb des Internets kennst. Chatte nie mit Fremden, da persönliche Daten privat bleiben sollten. Das sorgt für deine Sicherheit im Azoomee-Chat!","Είναι σημαντικό να δίνεις τον Κωδικό Παιδιού μόνο σε φίλους ή μέλη της οικογένειας που γνωρίζεις στην πραγματική ζωή. Ποτέ μην συνομιλείς με αγνώστους, καθώς τα προσωπικά στοιχεία πρέπει να παραμένουν ιδιωτικά. Αυτό θα σε βοηθήσει να παραμείνεις ασφαλής στο Azoomee Chat!",Çocuk Kodunu yalnızca gerçek hayatta tanıdığınız arkadaşlar veya aile bireylerine vermeniz önemlidir. Yabancılarla asla sohbet etmeyin; çünkü kişisel bilgiler gizli tutulmalıdır. Bu Azoomee Chat'te güvende olmanıza yardımcı olur!,"Onthou, jy moet net jou kinderkode deel met vriende of familielede wat jy in die werklike lewe ken. Moet nooit met vreemdelinge klets nie, want persoonlike inligting moet privaat bly. Dit help jou om veilig te bly op Azoomee Chat!"
titleChild2,2/4 Being Kind online,2/4 Amabilidad en línea,2/4 Bienveillance en ligne,2/4 Ser simpático online,2/4 Essere educati online,2/4 So bist du online freundlich.,2/4 Η ευγένεια στο διαδίκτυο,2/4 Çevrimiçi ortamlarda nazik olmak,2/4 Wees vriendelik aanlyn
mainTextChild2,"Think before you share. Is what you are sending kind, or could it hurt someone’s feelings? Remember, playing with friends online is like playing with them face-to-face: if you’re not kind, they won’t want to share with you.","Piensa antes de compartir contenidos. ¿Crees que lo que quieres enviar podría herir los sentimientos de alguien? Recuerda: jugar con amigos en línea es como hacerlo en persona: si no eres amable, nadie querrá nada contigo.","Réfléchis avant d'envoyer la moindre chose. Ce que tu vas envoyer est-il bienveillant, ou peut-il blesser quelqu'un ? N'oublie pas que jouer avec des amis en ligne n'est pas différent de jouer avec eux en personne : si tu n'est pas gentil(le), ils ne voudront plus jouer avec toi.","Pensa antes de partilhares. O que estás a enviar é simpático, ou poderá ferir os sentimentos de alguém? Lembra-te, jogar com amigos online é como jogar com eles na vida real: se não fores simpático, eles não vão querer partilhar contigo.","Pensa prima di condividere qualcosa. Ciò che stai inviando è educato, oppure potrebbe ferire i sentimenti di qualcuno? Ricorda che giocare con i tuoi amici online è come giocare con loro di persona: se non ti comporti in maniera educata, non vorranno condividere nulla con te.","Überlege, bevor du etwas teilst. Ist das, was du senden möchtest, freundlich oder könnte es die Gefühle von jemandem verletzen? Vergiss nicht: Wenn du mit deinen Freunden online spielst, ist das nicht anders, als wenn du mit ihnen persönlich spielst. Falls du nicht freundlich bist, wollen sie nichts mehr mit dir teilen.","Σκέψου πριν κοινοποιήσεις. Αυτό που θα στείλεις είναι ευγενικό, ή μήπως θα μπορούσε να πληγώσει κάποιον; Θυμήσου, το να παίζεις με φίλους στο διαδίκτυο είναι σαν να παίζεις μαζί τους πρόσωπο με πρόσωπο: αν δεν είσαι ευγενικός, δεν θα θέλουν να μοιραστούν μαζί σου.",Bir şey paylaşmadan önce düşünün. Gönderdiğiniz şey iyi mi yoksa birinin duygularını incitebilir mi? Arkadaşlarınızla çevrimiçi oyunlar oynamanın onlarla yüz yüze oynamaktan bir farkı olmadığını unutmayın; nazik olmazsanız sizinle bir şeyler paylaşmak istemezler.,"Dink voor jy deel. Is dit wat jy gaan stuur vriendelik, of kan dit iemand se gevoelens seermaak? Onthou, om aanlyn met vriende te speel, is net soos om in die regte lewe met hulle te speel: as jy nie vriendelik is nie, sal hulle nie met jou wil deel nie."
titleChild3,3/4 How to Report!,3/4 Cómo informar sobre algo negativo,3/4 Comment effectuer un signalement ?,3/4 Como denunciar!,3/4 Come fare una segnalazione!,3/4 So kannst du etwas melden!,3/4 Πώς να αναφέρεις κάτι!,3/4 Nasıl Bildirirsiniz?,3/4 Hoe om te rapporteer!
mainTextChild3,"It’s fun to chat with your friends on Azoomee, but if someone says something that makes you feel upset or worried you can always let your parent know in Azoomee Chat by pressing the ‘report’ button at the top of your chat screen.","Azoomee es un lugar genial para chatear con tus amigos. Si alguien dice algo que te sienta mal o te perturba, en Azoomee Chat siempre podrás avisar a tus padres a través del botón «Informar», situado en la parte superior de la pantalla de chat.","Discuter avec tes amis sur Azoomee est amusant, mais si quelqu'un dit quelque chose qui te perturbe ou t'inquiète, tu peux avertir tes parents sur Azoomee Chat en appuyant sur le bout « Signaler » tout en haut de ton écran de discussion.","Conversares com os teus amigos no Azoomee é divertido, mas se alguém disser alguma coisa que te faça sentir mal ou te preocupe, podes sempre dizer aos teus pais no Azoomee Chat premindo o botão ‘denunciar’ que está no topo do teu ecrã de chat.","Chattare con i tuoi amici su Azoomee è molto divertente, ma se qualcuno dovesse dire qualcosa in grado di turbarti o farti arrabbiare, puoi sempre informare i tuoi genitori nella chat di Azoomee premendo il pulsante “Segnala” nella parte superiore della schermata della chat.","Es macht Spaß, mit deinen Freunden auf Azoomee zu chatten. Aber wenn jemand etwas sagt, das dich verunsichert oder bekümmert, kannst du im Azoomee-Chat jederzeit deine Eltern informieren. Drücke dafür oben im Chat-Bildschirm auf „Melden“.","Είναι διασκεδαστικό να συνομιλείς με τους φίλους σου στο Azoomee, αλλά αν κάποιος πει κάτι που σε αναστατώνει ή σε ανησυχεί μπορείς πάντα να ενημερώσεις τους γονείς σου στο Azoomee Chat πατώντας το κουμπί «report» (αναφορά) στο επάνω μέρος της οθόνης chat.","Azoomee üzerinden arkadaşlarınızla sohbet etmek eğlenceli olabilir; ancak birinin sizi üzecek veya endişelendirecek bir şey söylemesi halinde, sohbet ekranının üstündeki ""bildir"" düğmesine basarak ebeveyninizi Azoomee Chat üzerinden durumdan haberdar edebilirsiniz.","Dis lekker om met jou vriende op Azoomee te klets, maar as iemand iets sê wat jou ontstel of bekommerd maak, kan jy jou ouer binne-in Azoomee Chat laat weet deur die “Rapporteer""-knoppie bo-aan jou kletsskerm te druk."
titleChild4,4/4 Report and Talk about it!,4/4 ¡Informa cuando algo no te guste y no te calles!,4/4 Signaler et discuter,4/4 Denuncia e fala sobre isso!,4/4 Segnala e parlane!,4/4 Melde es und sprich drüber!,4/4 Ανάφερε το και μίλησε για αυτό!,4/4 Bildir ve Konu hakkında konuşun!,4/4 Rapporteer dit en gesels daaroor!
mainTextChild4,"Remember, you can always speak to a parent or grown-up you trust if you have any questions or if something is worrying you online. Talking about what you do online can help you when things get tricky."",
        ","Recuerda que siempre podrás hablar con tus padres o algún adulto de confianza si, al estar en línea, te surgiera alguna pregunta o inquietud. Comenta qué sueles hacer en línea. Ello te ayudará a resolver situaciones comprometidas.",N'oublie pas que tu peux t'adresser à tes parents ou un adulte en qui tu as confiance si tu as la moindre question ou si quelque chose te dérange. Ces discussions pourront t'aider si tu devais vivre un moment difficile.,"Lembra-te, se tiveres alguma dúvida ou estiveres preocupado com alguma coisa online, podes sempre falar com um dos teus pais ou com um adulto em quem confies. Falar sobre o que fazes online pode ajudar-te quando as coisas se complicam.”,","Ricordati che se avessi delle domande o se qualcosa ti preoccupa online, puoi sempre parlarne con un genitore o un adulto di fiducia. Parlare su ciò che fai online può aiutarti quando le cose si complicano.","Vergiss nicht, dass du jederzeit mit deinen Eltern oder einem Erwachsenen, dem du vertraust, sprechen kannst, falls du Fragen hast oder dich online etwas beunruhigt. Es kann hilfreich sein, darüber zu sprechen, was du online machst, falls eine Situation mal kompliziert ist."",","Θυμήσου, μπορείς πάντα να μιλήσεις στους γονείς σου ή σε έναν ενήλικα που εμπιστεύεσαι αν έχει απορίες ή αν κάτι σε προβληματίζει στο διαδίκτυο. Το να μιλάς για όσα κάνεις στο διαδίκτυο μπορεί να σε βοηθήσει αν δυσκολέψουν τα πράγματα.","Sorularınızın olması veya çevrimiçi ortamda sizi endişelendiren bir şey olması halinde bir ebeveyn veya güvenilir bir yetişkinle her zaman konuşabileceğinizi unutmayın. Çevrimiçi ortamda yaptıklarınız hakkında konuşmak işler karıştığında size yardımcı olabilir."",","Onthou, jy kan altyd met ’n ouer of volwassene wat jy vertrou, gesels as jy enige vrae het of as iets aanlyn jou pla. Om te gesels oor wat jy aanlyn doen, help jou wanneer dinge moeilik begin word."","
Reset,Reset,Reiniciar,Réinitialiser,Reiniciar,Annulla,Zurücksetzen,Επαναφορά,Sıfırla,Stel terug
This chat has been reported. Get your parent to reset it.,This chat has been reported. Get your parent to reset it. ,Has informado sobre este chat. Pídele a un adulto que lo reinicie.,Cette discussion a été signalée. Demande à tes parents de la réinitialiser.,Esta conversa foi denunciada. Pede aos teus pais que a reiniciem.,Questa chat è stata segnalata. Chiedi ai tuoi genitori di annullarla.,"Dieser Chat wurde gemeldet. Sage deinen Eltern, dass sie ihn nun zurücksetzen können.",Έχει γίνει αναφορά για αυτό το chat. Πείτε στους γονείς σας να το επαναφέρουν.,Bu sohbet bildirildi. Ebeveynlerinizden sıfırlamalarını isteyin.,Hierdie klets is gerapporteer. Laat jou ouer dit terugstel.
Reset %s1 & %s2's conversation?,Reset %s1 & %s2's conversation?,¿Quieres reiniciar la conversación entre %s1 y %s2 ?,Réinitialiser la discussion entre %s1 et %s2 ?,Reiniciar a conversa entre %s1 e %s2 ?,Annullare la conversazione fra %s1 e %s2 ?,Unterhaltung von %s1 & %s2 zurücksetzen?,Επαναφορά της συνομιλίας του %s1 και %s2;,%s1 ve %s2 sohbeti sıfırlansın mı?,Stel %s1 en %s2 se gesprek terug?
"If you need some guidance, read the","If you need some guidance, read the","Si necesitas algún consejo, lee los","Si tu as besoin d'aide, consulte les","Se precisares de conselhos, lê as","Se ti serve aiuto, consulta i","Wenn du Hilfe brauchst, dann lies bitte die","Αν χρειάζεστε καθοδήγηση, διαβάστε τις",Rehberliğe ihtiyaç duyuyorsanız,"As jy leiding nodig het, lees die"
This is your new Oomee!,This is your new Oomee!,¡Este es tu nuevo Oomee!,Voici ton nouvel Oomee!,Este é o teu novo Oomee!,Questo è il tuo nuovo Oomee!,Das ist dein neuer Oomee!,Αυτό είναι το νέο σας άβαταρ!,Bu Sizin Yeni Oomee!,Dit is jou nuwe Oomee!
Log in. Please enter your email.,Log in. Please enter your email.,Iniciar sesión. Introduce tu correo electrónico.,Se connecter. Saisissez votre adresse e-mail.,Iniciar sessão. Introduza o seu email.,Accedi. Inserisci il tuo indirizzo e-mail.,Anmelden Bitte E-Mail-Adresse eingeben.,Είσοδος Εισαγάγετε τη διεύθυνση ηλεκτρονικού ταχυδρομείου σας,Oturum açın. Lütfen e-posta adresinizi girin.,Meld aan. Voer jou e-posadres in.
